CUR PAIR,1W,2W,1M,3M,6M
AUD/USD,6.3,6.3,6.3,6.9,7.2
USD/CAD,4.1,3.9,3.9,4,4.2
USD/CNY,1.35,1.2,1.25,1.8,2.2
EUR/USD,4.8,4.6,4.4,4.8,5
GBP/USD,4.9,4.9,4.6,5.4,5.9
USD/JPY,10.1,10.1,9.6,9,8.5
NZD/USD,7.5,7.3,7,7.6,7.7
AUD/CAD,3.7,4.1,4.5,4.9,5
AUD/CNY,5.2,4.7,4.9,5.4,5.5
AUD/JPY,8.5,9.3,9.3,8.9,9
AUD/NZD,4.3,4.2,4.3,4.7,4.5
CAD/CNY,3.2,2.8,2.9,3,3.1
CNY/JPY,9.4,9.2,8.9,8.1,7.6
EUR/AUD,3.3,3.7,4.2,4.8,5.1
EUR/CAD,2.5,2.8,3.1,3.6,4
EUR/CNY,3.8,3.4,3.3,3.7,3.9
EUR/GBP,1.8,2.2,2.3,3,3.4
EUR/NZD,4.2,4.4,4.5,5.2,5.3
GBP/AUD,3.5,3.9,4.3,4.9,5.4
GBP/CAD,2.8,3.3,3.5,4.1,4.6
GBP/CNY,3.9,3.6,3.6,4.3,4.8
GBP/NZD,4.4,4.7,4.7,5.4,5.7
NZD/CAD,4.9,5,5,5.5,5.4
NZD/CNY,7,6.2,6,6.4,6.5
NZD/JPY,8.1,9,8.9,8.8,8.8
