# Central bank decision dates. These are set by committee and published ahead of
# time, so they cannot be derived from a rule -- edit this file to extend it.
#
# Format: EVENT,YYYY-MM-DD  (the decision day; the release time comes from
# RELEASE_TIMES in econ.py and is converted from the local zone, DST included).
#
# VERIFY BEFORE RELYING ON THESE. Central banks publish dates a year or two
# ahead and describe them as provisional until the preceding meeting confirms.
#
# --- FOMC (decision 14:00 New York, second day of a two-day meeting) ---
FOMC,2026-01-28
FOMC,2026-03-18
FOMC,2026-04-29
FOMC,2026-06-17
FOMC,2026-07-29
FOMC,2026-09-16
FOMC,2026-10-28
FOMC,2026-12-09
FOMC,2027-01-27
FOMC,2027-03-17
FOMC,2027-04-28
FOMC,2027-06-09
FOMC,2027-07-28
FOMC,2027-09-15
FOMC,2027-10-27
FOMC,2027-12-08
# --- ECB (decision 14:15 Frankfurt, second day) ---
ECB,2026-04-30
ECB,2026-06-11
ECB,2026-07-23
ECB,2026-09-10
ECB,2026-10-29
ECB,2026-12-17
ECB,2027-02-04
ECB,2027-03-18
ECB,2027-04-29
# --- Bank of England (12:00 London, Thursday) ---
BOE,2026-02-05
BOE,2026-03-19
BOE,2026-04-30
BOE,2026-06-18
BOE,2026-07-30
BOE,2026-09-17
BOE,2026-11-05
BOE,2026-12-17
BOE,2027-02-04
BOE,2027-03-18
BOE,2027-04-29
BOE,2027-06-17
BOE,2027-07-29
BOE,2027-09-16
BOE,2027-11-04
BOE,2027-12-16
# --- Bank of Japan (around midday Tokyo, second day) ---
# 2026: only the Outlook Report meetings are confirmed in the sources used;
# the March, June, September and December meetings still need filling in.
BOJ,2026-01-23
BOJ,2026-04-28
BOJ,2026-07-31
BOJ,2026-10-30
BOJ,2027-01-22
BOJ,2027-03-18
BOJ,2027-04-28
BOJ,2027-06-11
BOJ,2027-07-22
BOJ,2027-09-22
BOJ,2027-10-29
BOJ,2027-12-17
